model_name,pool_type,epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,train_rocauc,valid_rocauc
graph_transformer_mean_max_pool,mean_max,1,0.1588595820643108,0.0972976367490412,0.9610650132214826,0.9805494772672017,0.6022262209592485,0.6145282186948853
graph_transformer_mean_max_pool,mean_max,2,0.1441619080405283,0.0943895194942388,0.9630102428497614,0.9805494772672017,0.7031905432737082,0.7081588036449147
graph_transformer_mean_max_pool,mean_max,3,0.1380968653486795,0.0887958895048924,0.9638308865991916,0.9800632141988816,0.7420646696367827,0.7135309499314126
graph_transformer_mean_max_pool,mean_max,4,0.1348190035271643,0.0862173993842857,0.9641956171544938,0.9800632141988816,0.7609734395510707,0.7250208210856359
graph_transformer_mean_max_pool,mean_max,5,0.1327091856013505,0.0838921991773103,0.9645299534968542,0.9803063457330417,0.7656183937711218,0.7523852390750538
graph_transformer_mean_max_pool,mean_max,6,0.1282527003222035,0.0866268013861893,0.96574572201634,0.9803063457330417,0.7823482358921194,0.741077552420145
graph_transformer_mean_max_pool,mean_max,7,0.1262877118728439,0.0844925331022457,0.9657457220145284,0.9817651349380014,0.790232267061935,0.7341576033705663
graph_transformer_mean_max_pool,mean_max,8,0.1232905279470103,0.0850094882021876,0.9667791252545516,0.9803063457330417,0.7916803447428823,0.7048151822457377
graph_transformer_mean_max_pool,mean_max,9,0.1219579439346649,0.0860521908151608,0.9674174037263306,0.9807926088013617,0.8012672707711627,0.6765214702135998
graph_transformer_mean_max_pool,mean_max,10,0.1229743435953979,0.0777405670558938,0.9665967599769004,0.9827376610746412,0.7930559269111954,0.7665282676856751
graph_transformer_mean_max_pool,mean_max,11,0.1210239505281103,0.0809875392817402,0.9671742500227956,0.9817651349380014,0.8094334154667208,0.7459123309817755
graph_transformer_mean_max_pool,mean_max,12,0.1193756972622194,0.0823265501648303,0.9676605574298652,0.9807926088013617,0.811783631048922,0.7519320742700372
graph_transformer_mean_max_pool,mean_max,13,0.1180766824239871,0.0820494590804013,0.9672958268745632,0.9827376610746412,0.8160105795007039,0.762364050558495
graph_transformer_mean_max_pool,mean_max,14,0.1165968545688951,0.0812310601217564,0.9682380474757606,0.9810357403355217,0.8235543290111638,0.7483710562414266
graph_transformer_mean_max_pool,mean_max,15,0.1153513155049898,0.0774655883392256,0.9684812011811073,0.9815220034038414,0.8259047368211693,0.7767183519498334
graph_transformer_mean_max_pool,mean_max,16,0.1152732910665717,0.079498532419282,0.9680252879851676,0.9822513980063214,0.8265999863441367,0.761629188712522
graph_transformer_mean_max_pool,mean_max,17,0.113613462959712,0.078722896873172,0.9688459317345978,0.9822513980063214,0.8296077619844552,0.7846426121889084
graph_transformer_mean_max_pool,mean_max,18,0.1115248966193852,0.07826931028109,0.968997902799307,0.9817651349380014,0.8368161893129131,0.7906531697040957
graph_transformer_mean_max_pool,mean_max,19,0.1128754501812521,0.0787642793786509,0.9685419896051792,0.9810357403355217,0.8358674169463111,0.7601931461885166
graph_transformer_mean_max_pool,mean_max,20,0.110517262064788,0.0774113489346614,0.9692714507157836,0.9827376610746412,0.8426271717641038,0.7539315108759552
